grammar,cve,version,run,ttfc_sec
EBNF-Baseline,CVE-2020-13871,3.30.1,1,4
EBNF-Baseline,CVE-2020-13871,3.30.1,2,1
EBNF-Baseline,CVE-2020-13871,3.30.1,3,1
EBNF-Baseline,CVE-2020-13871,3.30.1,4,1
DBMS-Nautilus,CVE-2020-13434,3.30.1,2,13
DBMS-Nautilus,CVE-2020-13434,3.30.1,3,14
DBMS-Nautilus,CVE-2020-13434,3.30.1,4,10
DBMS-Nautilus,CVE-2020-13434,3.30.1,5,10
DBMS-Nautilus,CVE-2020-13434,3.31.1,1,13
DBMS-Nautilus,CVE-2020-13434,3.31.1,2,13
DBMS-Nautilus,CVE-2020-13434,3.31.1,3,140
DBMS-Nautilus,CVE-2020-13434,3.31.1,4,19
DBMS-Nautilus,CVE-2020-13434,3.31.1,5,17
DBMS-Nautilus,CVE-2020-13434,3.32.0,1,165
DBMS-Nautilus,CVE-2020-13434,3.32.0,2,13
DBMS-Nautilus,CVE-2020-13434,3.32.0,3,13
DBMS-Nautilus,CVE-2020-13434,3.32.0,4,12
DBMS-Nautilus,CVE-2020-13434,3.32.0,5,119
DBMS-Nautilus,CVE-2020-13435,3.32.0,1,13
DBMS-Nautilus,CVE-2020-13435,3.32.0,2,13
DBMS-Nautilus,CVE-2020-13435,3.32.0,3,13
DBMS-Nautilus,CVE-2020-13435,3.32.0,4,12
DBMS-Nautilus,CVE-2020-13435,3.32.0,5,13
DBMS-Nautilus,CVE-2020-15358,3.32.2,1,179
DBMS-Nautilus,CVE-2020-15358,3.32.2,2,149
DBMS-Nautilus,CVE-2020-15358,3.32.2,3,674
DBMS-Nautilus,CVE-2020-15358,3.32.2,4,241
DBMS-Nautilus,CVE-2020-15358,3.32.2,5,197
DBMS-Nautilus,CVE-2020-13871,3.30.1,2,20
DBMS-Nautilus,CVE-2020-13871,3.30.1,3,22
DBMS-Nautilus,CVE-2020-13871,3.30.1,4,38
DBMS-Nautilus,CVE-2020-13871,3.30.1,5,18
