class_id,key_function,subtype,severity,versions,cve,unique_hashes,total_crashes
BC001,sqlite3ExprCodeTarget,null-pointer,HIGH,3.30.1;3.31.1;3.32.0,,3,7222
BC002,sqlite3Fts5GetTokenizer,null-pointer,HIGH,3.30.1;3.31.1;3.32.0;3.32.2,,4,832
BC003,sqlite3_str_vappendf,signed-integer-overflow,MEDIUM,3.30.1;3.31.1;3.32.0,CVE-2020-13434,6,157
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,HIGH,3.30.1,CVE-2020-13871,1,71
BC005,alsoAnInt,float-cast-overflow,LOW,3.31.1;3.32.0;3.32.2,,10,21
BC006,isAuxiliaryVtabOperator,null-pointer,HIGH,3.31.1,,1,20
BC007,resetAccumulator,misaligned-access,HIGH,3.30.1,,1,13
BC008,sqlite3ExprCodeTarget,misaligned-access,HIGH,3.31.1,,13,13
BC009,sqlite3VdbeMemNumerify,float-cast-overflow,LOW,3.32.2,,2,6
BC010,sqlite3Select,null-pointer,HIGH,3.31.1;3.32.0,CVE-2020-9327,2,5
BC011,sqlite3WindowListDelete,signal-6,MEDIUM,3.30.1,,2,5
BC012,sqlite3Atoi64,null-pointer,HIGH,3.30.1,,2,4
BC013,sqlite3ExprCodeTarget,signal-6,MEDIUM,3.30.1,,1,1
