grammar,grammar_label,version,run,throughput,edges,unique_rcs,ttfc,queue_size,workdir
proposed,v3.4,3.30.1,1,87.23248053392659,20112,207,2,1296,sqlite-3.30.1_comparison_v3.4_run1
proposed,v3.4,3.30.1,2,95.85761957730811,20117,249,3,1326,sqlite-3.30.1_comparison_v3.4_run2
proposed,v3.4,3.30.1,3,100.33481646273637,19871,186,2,1272,sqlite-3.30.1_comparison_v3.4_run3
proposed,v3.4,3.30.1,4,83.16351501668521,19464,205,1,1207,sqlite-3.30.1_comparison_v3.4_run4
proposed,v3.4,3.30.1,5,87.09566184649611,19744,230,1,1284,sqlite-3.30.1_comparison_v3.4_run5
proposed,v3.4,3.31.1,1,111.63808463251671,18407,43,2,123,sqlite-3.31.1_comparison_v3.4_run1
proposed,v3.4,3.31.1,2,97.7797552836485,20707,182,2,1414,sqlite-3.31.1_comparison_v3.4_run2
proposed,v3.4,3.31.1,3,78.33147942157953,20386,216,2,1297,sqlite-3.31.1_comparison_v3.4_run3
proposed,v3.4,3.31.1,4,78.77864293659621,20210,205,1,1311,sqlite-3.31.1_comparison_v3.4_run4
proposed,v3.4,3.31.1,5,96.33036707452725,20341,207,2,1383,sqlite-3.31.1_comparison_v3.4_run5
proposed,v3.4,3.32.0,1,101.35817575083426,18088,12,2,77,sqlite-3.32.0_comparison_v3.4_run1
proposed,v3.4,3.32.0,2,82.34260289210233,20289,176,1,1301,sqlite-3.32.0_comparison_v3.4_run2
proposed,v3.4,3.32.0,3,72.87875417130145,20363,165,1,1225,sqlite-3.32.0_comparison_v3.4_run3
proposed,v3.4,3.32.0,4,79.24137931034483,20937,150,3,1385,sqlite-3.32.0_comparison_v3.4_run4
proposed,v3.4,3.32.0,5,88.60511679644048,20410,194,1,1337,sqlite-3.32.0_comparison_v3.4_run5
proposed,v3.4,3.32.2,1,98.68075639599554,20664,311,2,1374,sqlite-3.32.2_comparison_v3.4_run1
proposed,v3.4,3.32.2,2,80.58064516129032,20832,317,2,1263,sqlite-3.32.2_comparison_v3.4_run2
proposed,v3.4,3.32.2,3,92.40266963292547,20798,239,2,1329,sqlite-3.32.2_comparison_v3.4_run3
proposed,v3.4,3.32.2,4,104.80978865406007,21133,280,1,1408,sqlite-3.32.2_comparison_v3.4_run4
proposed,v3.4,3.32.2,5,99.35706340378198,20761,337,3,1347,sqlite-3.32.2_comparison_v3.4_run5
baseline,EBNF,3.30.1,1,206.91879866518354,23446,7,4,1835,sqlite-3.30.1_comparison_ebnf_run1
baseline,EBNF,3.30.1,2,214.65072302558397,23438,2,1,1840,sqlite-3.30.1_comparison_ebnf_run2
baseline,EBNF,3.30.1,3,183.33481646273637,23327,4,1,1718,sqlite-3.30.1_comparison_ebnf_run3
baseline,EBNF,3.30.1,4,199.85650723025583,23071,3,1,1820,sqlite-3.30.1_comparison_ebnf_run4
baseline,EBNF,3.30.1,5,176.79199110122357,23334,2,2,1708,sqlite-3.30.1_comparison_ebnf_run5
baseline,EBNF,3.31.1,1,193.86985539488322,23168,1,1,1746,sqlite-3.31.1_comparison_ebnf_run1
baseline,EBNF,3.31.1,2,188.6384872080089,23750,1,2,1761,sqlite-3.31.1_comparison_ebnf_run2
baseline,EBNF,3.31.1,3,184.3084632516704,23136,1,1,1684,sqlite-3.31.1_comparison_ebnf_run3
baseline,EBNF,3.31.1,4,184.5550611790879,22858,1,1,1652,sqlite-3.31.1_comparison_ebnf_run4
baseline,EBNF,3.31.1,5,162.00333704115684,22998,1,1,1659,sqlite-3.31.1_comparison_ebnf_run5
baseline,EBNF,3.32.0,2,197.95661846496108,23234,1,1,1790,sqlite-3.32.0_comparison_ebnf_run2
baseline,EBNF,3.32.0,3,189.70745272525028,23900,1,1,1850,sqlite-3.32.0_comparison_ebnf_run3
baseline,EBNF,3.32.0,4,214.74638487208009,23834,5,1,1854,sqlite-3.32.0_comparison_ebnf_run4
baseline,EBNF,3.32.0,5,189.71523915461623,23612,1,1,1814,sqlite-3.32.0_comparison_ebnf_run5
baseline,EBNF,3.32.2,1,158.35817575083425,23697,1,1,1639,sqlite-3.32.2_comparison_ebnf_run1
baseline,EBNF,3.32.2,2,182.67519466073415,23856,1,3,1814,sqlite-3.32.2_comparison_ebnf_run2
baseline,EBNF,3.32.2,3,196.74304783092325,24058,1,3,1849,sqlite-3.32.2_comparison_ebnf_run3
baseline,EBNF,3.32.2,4,196.3837597330367,23626,1,1,1753,sqlite-3.32.2_comparison_ebnf_run4
baseline,EBNF,3.32.2,5,177.64849833147943,23818,1,1,1895,sqlite-3.32.2_comparison_ebnf_run5
